1,1,1,1,0,-2
2,1,2,8,5,2
3,1,3,13,10,7
4,1,4,0,-3,-6
5,1,5,3,0,-3
6,1,6,6,2,-3
7,1,7,11,6,2
8,1,8,9,5,0
9,1,9,9,8,7
10,1,10,13,9,6
11,1,11,12,8,4
12,1,12,11,8,6
13,1,13,4,0,-4
14,1,14,-3,-4,-5
15,1,15,2,-2,-5
16,1,16,1,1,0
17,1,17,5,4,3
18,1,18,3,2,1
19,1,19,14,10,6
20,1,20,14,10,6
21,1,21,-2,-3,-3
22,1,22,5,3,1
23,1,23,1,-2,-4
24,1,24,7,4,2
25,1,25,5,3,1
26,1,26,6,2,-2
27,1,27,4,1,-2
28,1,28,5,4,3
29,1,29,10,8,6
30,1,30,0,-1,-2
31,1,31,2,2,2
32,1,32,2,0,-2
33,1,33,7,6,6
34,1,34,-2,-2,-3
35,1,35,4,3,3
36,1,36,3,0,-2
37,1,37,3,0,-3
38,1,38,5,4,3
39,1,39,1,1,1
40,1,40,-1,-2,-3
41,1,41,6,6,6
42,1,42,1,1,0
43,1,43,3,3,2
44,1,44,6,5,3
45,1,45,2,1,0
46,1,46,0,-2,-4
47,1,47,1,0,-1
48,1,48,2,1,1
49,1,49,0,-1,-2
50,1,50,9,7,4
51,1,51,2,2,1
52,1,52,7,4,2
53,1,53,2,2,2
54,1,54,5,5,4
55,1,55,8,5,1
56,1,56,1,-2,-4
57,1,57,2,0,-3
58,1,58,4,1,-1
59,1,59,5,4,2
60,1,60,4,1,-1
61,1,61,4,1,-3
62,1,62,4,2,1
63,1,63,7,5,4
64,1,64,6,3,1
65,1,65,3,1,0
66,1,66,4,3,2
67,1,67,4,0,-4
68,1,68,0,-1,-1
69,1,69,3,-1,-5
70,1,70,0,-1,-1
71,1,71,5,4,3
72,1,72,11,7,3
73,1,73,7,3,0
74,1,74,3,3,3
75,1,75,-2,-2,-2
76,1,76,-3,-4,-4
77,1,77,10,7,4
78,1,78,6,4,2
79,1,79,-1,-1,-2
80,1,80,8,4,-1
81,1,81,-3,-3,-4
82,1,82,3,0,-3
83,1,83,4,2,0
84,1,84,0,-2,-3
85,1,85,7,5,4
86,1,86,5,3,2
87,1,87,5,2,0
88,1,88,4,2,-1
89,1,89,5,5,4
90,1,90,4,3,2
91,1,91,4,0,-3
92,1,92,0,0,-1
93,1,93,1,-1,-3
94,1,94,0,-2,-5
95,1,95,1,0,-1
96,1,96,15,10,6
97,1,97,1,1,1
98,1,98,-3,-3,-4
99,1,99,4,3,2
100,1,100,-1,-2,-3
101,1,101,3,1,-1
102,1,102,3,2,1
103,1,103,-1,-3,-4
104,1,104,-2,-3,-3
105,1,105,3,2,0
106,1,106,1,-1,-3
107,2,1,1,0,-1
108,2,2,7,5,3
109,2,3,12,10,8
110,2,4,-1,-3,-5
111,2,5,2,0,-2
112,2,6,4,2,-1
113,2,7,9,6,4
114,2,8,7,5,2
115,2,9,9,8,8
116,2,10,11,9,7
117,2,11,10,8,6
118,2,12,10,8,7
119,2,13,2,0,-2
120,2,14,-3,-4,-4
121,2,15,0,-2,-3
122,2,16,1,1,0
123,2,17,4,4,4
124,2,18,3,2,2
125,2,19,12,10,7
126,2,20,12,10,8
127,2,21,-2,-3,-3
128,2,22,4,3,2
129,2,23,0,-2,-3
130,2,24,6,4,3
131,2,25,4,3,2
132,2,26,4,2,0
133,2,27,3,1,0
134,2,28,5,4,4
135,2,29,9,8,7
136,2,30,-1,-1,-2
137,2,31,2,2,2
138,2,32,1,0,-2
139,2,33,7,6,6
140,2,34,-2,-2,-2
141,2,35,3,3,3
142,2,36,2,0,-1
143,2,37,2,0,-2
144,2,38,5,4,3
145,2,39,1,1,1
146,2,40,-2,-2,-2
147,2,41,6,6,6
148,2,42,1,1,0
149,2,43,3,3,2
150,2,44,6,5,4
151,2,45,2,1,1
152,2,46,-1,-2,-3
153,2,47,0,0,-1
154,2,48,2,1,1
155,2,49,0,-1,-2
156,2,50,8,7,5
